"country","yearAP","rateper1000AP"
"Afghanistan","2017",62
"Albania","2017",15.9
"Algeria","2015",9.7
"Andorra","2018",2.7
"Angola","2014",163
"Antigua and Barbuda","2018",27.7
"Argentina","2017",54.4
"Armenia","2017",21.2
"Australia","2017",10.1
"Austria","2017",6.7
"Azerbaijan","2017",45
"Bahamas","2013",29
"Bahrain","2017",13.6
"Bangladesh","2018",74
"Barbados","2007",49.7
"Belarus","2017",14.2
"Belgium","2017",5.9
"Belize","2017",64.3
"Benin","2016",108
"Bhutan","2012",28.4
"Bolivia (Plurinational State of)","2015",71
"Bosnia and Herzegovina","2016",11
"Botswana","2017",50
"Brazil","2017",52.7
"Brunei Darussalam","2017",9.8
"Bulgaria","2017",38.2
"Burkina Faso","2016",132.3
"Burundi","2015",58.2
"Cabo Verde","2010",80
"Cambodia","2013",57.4
"Cameroon","2014",119
"Canada","2017",7.7
"Central African Republic","2009",229
"Chad","2013",179.4
"Chile","2017",26.4
"China","2015",9.2
"Colombia","2017",61
"Comoros","2011",70.3
"Congo","2013",111.3
"Cook Islands","2015",67
"Costa Rica","2018",50.4
"Côte d'Ivoire","2015",123.3
"Croatia","2017",9.1
"Cuba","2017",52
"Cyprus","2017",4.4
"Czechia","2017",12.1
"Democratic People's Republic of Korea","2017",1
"Democratic Republic of the Congo","2012",138.1
"Denmark","2017",2.8
"Djibouti","2011",21
"Dominica","2003",48.4
"Dominican Republic","2017",51
"Ecuador","2017",71.1
"Egypt","2018",51.8
"El Salvador","2013",74
"Equatorial Guinea","2010",176
"Eritrea","2008",76
"Estonia","2017",10.5
"Eswatini","2013",87.1
"Ethiopia","2014",79.5
"Fiji","2016",23.1
"Finland","2017",4.9
"France","2018",8.6
"Gabon","2012",91
"Gambia","2012",86
"Georgia","2018",32.3
"Germany","2018",5.7
"Ghana","2016",75.1
"Greece","2018",8.6
"Grenada","2014",35.9
"Guatemala","2016",78.9
"Guinea","2016",120
"Guinea-Bissau","2012",106.4
"Guyana","2013",73.7
"Haiti","2015",54.8
"Honduras","2014",88.7
"Hungary","2017",22.9
"Iceland","2017",6
"India","2016",10.7
"Indonesia","2016",36
"Iran (Islamic Republic of)","2017",33.2
"Iraq","2009",82.1
"Ireland","2017",7.2
"Israel","2017",9.9
"Italy","2017",4.4
"Jamaica","2017",51.7
"Japan","2017",3.4
"Jordan","2016",27
"Kazakhstan","2018",25.6
"Kenya","2014",96
"Kiribati","2010",49
"Kuwait","2017",6.3
"Kyrgyzstan","2017",33.9
"Lao People's Democratic Republic","2016",83.4
"Latvia","2017",16.1
"Lebanon","2018",13.3
"Lesotho","2013",94
"Liberia","2015",150.3
"Libya","2013",10.9
"Lithuania","2017",12.6
"Luxembourg","2017",4
"Madagascar","2014",152
"Malawi","2015",137.6
"Malaysia","2017",9.3
"Maldives","2017",8.9
"Mali","2017",164
"Malta","2017",12.5
"Marshall Islands","2011",84.5
"Mauritania","2014",84
"Mauritius","2018",24
"Mexico","2018",70.5
"Micronesia (Federated States of)","2009",44
"Mongolia","2018",32.6
"Montenegro","2018",10
"Morocco","2017",19
"Mozambique","2016",180
"Myanmar","2015",28
"Namibia","2016",63.9
"Nauru","2015",94
"Nepal","2015",88.2
"Netherlands","2017",2.9
"New Zealand","2018",13.8
"Nicaragua","2009",92
"Niger","2016",154
"Nigeria","2017",106
"Niue","2011",20
"Norway","2017",2.9
"State of Palestine","2014",48
"Oman","2018",11.7
"Pakistan","2016",46
"Palau","2017",33.8
"Panama","2017",75.9
"Papua New Guinea","2016",68
"Paraguay","2015",72
"Peru","2017",44
"Philippines","2017",39
"Poland","2017",11.1
"Portugal","2017",8
"Qatar","2017",8.5
"Republic of Korea","2017",1
"Republic of Moldova","2018",21.4
"Republic of North Macedonia","2018",15.1
"Romania","2017",38.1
"Russian Federation","2016",21.5
"Rwanda","2016",41
"Saint Kitts and Nevis","2007",46.1
"Saint Lucia","2014",36
"Saint Vincent and the Grenadines","2017",52.3
"Samoa","2011",39.2
"San Marino","2017",1.4
"Sao Tome and Principe","2014",92
"Saudi Arabia","2009",8.7
"Senegal","2016",77.5
"Serbia","2017",15.2
"Seychelles","2018",68.3
"Sierra Leone","2016",101.3
"Singapore","2018",2.5
"Slovakia","2017",26.8
"Slovenia","2017",4.1
"Solomon Islands","2013",78
"Somalia","2005",123
"South Africa","2017",40.9
"South Sudan","2008",158.1
"Spain","2017",7.1
"Sri Lanka","2015",21
"Sudan","2013",86.8
"Suriname","2017",56.7
"Sweden","2017",4.6
"Switzerland","2017",2.4
"Syrian Arab Republic","2009",54
"Tajikistan","2016",54.3
"Thailand","2017",37.8
"Timor-Leste","2015",41.9
"Togo","2016",88.7
"Tonga","2011",30
"Trinidad and Tobago","2009",38
"Tunisia","2017",4
"Turkey","2017",20.9
"Turkmenistan","2014",28
"Tuvalu","2016",26.6
"Uganda","2015",131.5
"Ukraine","2017",19.1
"United Arab Emirates","2017",5.4
"United Kingdom of Great Britain and Northern Ireland","2017",12.4
"United Republic of Tanzania","2016",138.9
"United States of America","2017",18.8
"Uruguay","2018",35.8
"Uzbekistan","2017",18.9
"Vanuatu","2013",51.2
"Venezuela (Bolivarian Republic of)","2012",94.5
"Viet Nam","2014",30.1
"Yemen","2012",67.2
"Zambia","2017",135
"Zimbabwe","2017",77.6
