"country","yearAC","totalAC","yearAP","rateper1000AP","yearCL","infoCL","totalCL"
"Afghanistan","2016",0.3,"2017",62,"2014","5 to 17 years old",21.4
"Albania","2016",37.7,"2017",15.9,"2010","5 to 14 years old",3.3
"Algeria","2016",1.5,"2015",9.7,"2013","5 to 14 years old",4.3
"Andorra","2016",64.2,"2018",2.7,NA,NA,NA
"Angola","2016",33.5,"2014",163,"2016","5 to 17 years old",18.7
"Antigua and Barbuda","2016",35.3,"2018",27.7,NA,NA,NA
"Argentina","2016",54.5,"2017",54.4,NA,NA,NA
"Armenia","2016",16.3,"2017",21.2,"2015","5 to 17 years old",4.1
"Australia","2016",69.3,"2017",10.1,NA,NA,NA
"Austria","2016",68.1,"2017",6.7,NA,NA,NA
"Azerbaijan","2016",12.8,"2017",45,NA,NA,NA
"Bahamas","2016",29.8,"2013",29,NA,NA,NA
"Bahrain","2016",3.8,"2017",13.6,NA,NA,NA
"Bangladesh","2016",1.3,"2018",74,NA,NA,NA
"Barbados","2016",37.5,"2007",49.7,"2012","5 to 14 years old",1.4
"Belarus","2016",58,"2017",14.2,"2012","5 to 14 years old",1
"Belgium","2016",66.2,"2017",5.9,NA,NA,NA
"Belize","2016",27.3,"2017",64.3,"2013","5 to 17 years old",3.3
"Benin","2016",15.3,"2016",108,"2018","5 to 17 years old",24.8
"Bhutan","2016",16.8,"2012",28.4,"2010","5 to 14 years old",3.5
"Bolivia (Plurinational State of)","2016",31.3,"2015",71,NA,NA,NA
"Bosnia and Herzegovina","2016",34.4,"2016",11,NA,NA,NA
"Botswana","2016",19.3,"2017",50,NA,NA,NA
"Brazil","2016",26.8,"2017",52.7,"2015","5 to 17 years old",5.4
"Brunei Darussalam","2016",24.5,"2017",9.8,NA,NA,NA
"Bulgaria","2016",54.1,"2017",38.2,NA,NA,NA
"Burkina Faso","2016",24.4,"2016",132.3,"2010","5 to 14 years old",42
"Burundi","2016",19.4,"2015",58.2,"2017","5 to 17 years old",30.9
"Cabo Verde","2016",20.8,"2010",80,NA,NA,NA
"Cambodia","2016",19.2,"2013",57.4,"2012","5 to 17 years old",12.6
"Cameroon","2016",26.1,"2014",119,"2014","5 to 17 years old",38.9
"Canada","2016",51.7,"2017",7.7,NA,NA,NA
"Central African Republic","2016",24.4,"2009",229,"2010","5 to 14 years old",30.5
"Chad","2016",13.3,"2013",179.4,"2015","5 to 17 years old",39
"Chile","2016",54.4,"2017",26.4,"2012","5 to 17 years old",5.9
"China","2016",41.2,"2015",9.2,NA,NA,NA
"Colombia","2016",25,"2017",61,"2017","5 to 17 years old",3.6
"Comoros","2016",2,"2011",70.3,"2012","5 to 14 years old",28.5
"Congo","2016",36.9,"2013",111.3,"2015","5 to 17 years old",14.1
"Cook Islands","2016",36,"2015",67,NA,NA,NA
"Costa Rica","2016",23.7,"2018",50.4,"2016","5 to 17 years old",1.7
"Côte d'Ivoire","2016",25.2,"2015",123.3,"2016","5 to 17 years old",22.1
"Croatia","2016",47.4,"2017",9.1,NA,NA,NA
"Cuba","2016",32.5,"2017",52,NA,NA,NA
"Cyprus","2016",55.3,"2017",4.4,NA,NA,NA
"Czechia","2016",64.6,"2017",12.1,NA,NA,NA
"Democratic People's Republic of Korea","2016",27.4,"2017",1,"2017","5 to 17 years old",4.3
"Democratic Republic of the Congo","2016",23.6,"2012",138.1,"2014","5 to 17 years old",26.7
"Denmark","2016",63.9,"2017",2.8,NA,NA,NA
"Djibouti","2016",11,"2011",21,NA,NA,NA
"Dominica","2016",31.3,"2003",48.4,NA,NA,NA
"Dominican Republic","2016",29.1,"2017",51,"2014","5 to 17 years old",7
"Ecuador","2016",32.2,"2017",71.1,NA,NA,NA
"Egypt","2016",1.4,"2018",51.8,"2014","5 to 17 years old",4.8
"El Salvador","2016",19,"2013",74,"2015","5 to 17 years old",10
"Equatorial Guinea","2016",59.3,"2010",176,NA,NA,NA
"Eritrea","2016",11.5,"2008",76,NA,NA,NA
"Estonia","2016",62.3,"2017",10.5,NA,NA,NA
"Eswatini","2016",17.6,"2013",87.1,"2010","5 to 14 years old",7.8
"Ethiopia","2016",13.3,"2014",79.5,"2011","5 to 14 years old",48.6
"Fiji","2016",9.9,"2016",23.1,NA,NA,NA
"Finland","2016",61.9,"2017",4.9,NA,NA,NA
"France","2016",65.4,"2018",8.6,NA,NA,NA
"Gabon","2016",52.3,"2012",91,"2012","5 to 14 years old",19.6
"Gambia","2016",15.9,"2012",86,"2018","5 to 17 years old",16.9
"Georgia","2016",23.6,"2018",32.3,"2015","5 to 17 years old",1.6
"Germany","2016",70.2,"2018",5.7,NA,NA,NA
"Ghana","2016",15.4,"2016",75.1,"2013","7 to 17 years old",19.9
"Greece","2016",53.4,"2018",8.6,NA,NA,NA
"Grenada","2016",34.9,"2014",35.9,NA,NA,NA
"Guatemala","2016",16.9,"2016",78.9,NA,NA,NA
"Guinea","2016",12.6,"2016",120,"2016","5 to 17 years old",24.2
"Guinea-Bissau","2016",17.2,"2012",106.4,"2014","5 to 17 years old",36.2
"Guyana","2016",26.1,"2013",73.7,"2014","5 to 17 years old",10.8
"Haiti","2016",22.4,"2015",54.8,"2012","5 to 14 years old",35.5
"Honduras","2016",18.3,"2014",88.7,NA,NA,NA
"Hungary","2016",54.6,"2017",22.9,NA,NA,NA
"Iceland","2016",59.2,"2017",6,NA,NA,NA
"India","2016",25.2,"2016",10.7,NA,NA,NA
"Indonesia","2016",13.1,"2016",36,NA,NA,NA
"Iran (Islamic Republic of)","2016",1.7,"2017",33.2,NA,NA,NA
"Iraq","2016",1.5,"2009",82.1,"2018","5 to 17 years old",4.5
"Ireland","2016",71.4,"2017",7.2,NA,NA,NA
"Israel","2016",41.4,"2017",9.9,NA,NA,NA
"Italy","2016",50.8,"2017",4.4,NA,NA,NA
"Jamaica","2016",22.7,"2017",51.7,"2016","5 to 17 years old",2.9
"Japan","2016",45.5,"2017",3.4,NA,NA,NA
"Jordan","2016",1.5,"2016",27,"2016","5 to 17 years old",1.7
"Kazakhstan","2016",26.4,"2018",25.6,NA,NA,NA
"Kenya","2016",13.8,"2014",96,NA,NA,NA
"Kiribati","2016",6.6,"2010",49,NA,NA,NA
"Kuwait","2016",0.2,"2017",6.3,NA,NA,NA
"Kyrgyzstan","2016",15.3,"2017",33.9,"2018","5 to 17 years old",22.3
"Lao People's Democratic Republic","2016",26.4,"2016",83.4,"2017","5 to 17 years old",28.2
"Latvia","2016",65.3,"2017",16.1,NA,NA,NA
"Lebanon","2016",3,"2018",13.3,NA,NA,NA
"Lesotho","2016",10,"2013",94,"2018","5 to 17 years old",13.9
"Liberia","2016",18.7,"2015",150.3,"2010","5 to 17 years old",14
"Libya","2016",0.1,"2013",10.9,NA,NA,NA
